"filename", "language", "HTML", "CSS", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\ED M J\Documents\format atualizado 27-08-2023\format-atualizado-27-08-2023\format-atualizado-27-08-2023\README.md", "Markdown", 0, 0, 65, 0, 0, 11, 76
"c:\Users\ED M J\Documents\format atualizado 27-08-2023\format-atualizado-27-08-2023\format-atualizado-27-08-2023\Readme01.md", "Markdown", 0, 0, 52, 0, 0, 9, 61
"c:\Users\ED M J\Documents\format atualizado 27-08-2023\format-atualizado-27-08-2023\format-atualizado-27-08-2023\cspell.json", "JSON", 0, 0, 0, 9, 0, 1, 10
"c:\Users\ED M J\Documents\format atualizado 27-08-2023\format-atualizado-27-08-2023\format-atualizado-27-08-2023\index01.html", "HTML", 52, 0, 0, 0, 0, 3, 55
"c:\Users\ED M J\Documents\format atualizado 27-08-2023\format-atualizado-27-08-2023\format-atualizado-27-08-2023\index02.html", "HTML", 61, 0, 0, 0, 0, 9, 70
"c:\Users\ED M J\Documents\format atualizado 27-08-2023\format-atualizado-27-08-2023\format-atualizado-27-08-2023\index03.html", "HTML", 53, 0, 0, 0, 0, 2, 55
"c:\Users\ED M J\Documents\format atualizado 27-08-2023\format-atualizado-27-08-2023\format-atualizado-27-08-2023\index04.html", "HTML", 92, 0, 0, 0, 0, 3, 95
"c:\Users\ED M J\Documents\format atualizado 27-08-2023\format-atualizado-27-08-2023\format-atualizado-27-08-2023\index05.html", "HTML", 77, 0, 0, 0, 0, 4, 81
"c:\Users\ED M J\Documents\format atualizado 27-08-2023\format-atualizado-27-08-2023\format-atualizado-27-08-2023\style.css", "CSS", 0, 8, 0, 0, 0, 2, 10
"Total", "-", 335, 8, 117, 9, 0, 44, 513
